Time,Red_Signal
06:00:09.766038,399
06:00:09.781549,412
06:00:09.782051,409
06:00:09.796875,405
06:00:09.812882,393
06:00:09.813880,391
06:00:09.828887,387
06:00:09.844893,394
06:00:09.845892,399
06:00:09.860897,417
06:00:09.861897,441
06:00:09.876903,476
06:00:09.893432,504
06:00:09.893932,522
06:00:09.908942,521
06:00:09.925552,527
06:00:09.925552,527
06:00:09.941550,534
06:00:09.941896,530
06:00:09.957413,531
06:00:09.973057,523
06:00:09.973057,514
06:00:09.989345,491
06:00:10.005699,486
06:00:10.006031,473
06:00:10.021697,475
06:00:10.037690,469
06:00:10.037912,471
06:00:10.053572,466
06:00:10.053572,462
06:00:10.069515,444
06:00:10.085547,441
06:00:10.085547,436
06:00:10.101465,441
06:00:10.117413,439
06:00:10.117902,445
06:00:10.133395,446
06:00:10.133917,445
06:00:10.149540,431
06:00:10.165414,435
06:00:10.165414,433
06:00:10.181766,443
06:00:10.197695,442
06:00:10.198037,448
06:00:10.213031,446
06:00:10.214037,446
06:00:10.229665,433
06:00:10.245824,435
06:00:10.245824,436
06:00:10.261669,447
06:00:10.277152,450
06:00:10.277152,460
06:00:10.293682,451
06:00:10.294183,441
06:00:10.309070,423
06:00:10.324721,417
06:00:10.325722,411
06:00:10.340727,416
06:00:10.356733,419
06:00:10.357732,443
06:00:10.372740,465
06:00:10.373738,485
06:00:10.389657,485
06:00:10.405560,497
06:00:10.405560,494
06:00:10.421694,500
06:00:10.437687,493
06:00:10.437687,493
06:00:10.453695,482
06:00:10.454039,471
06:00:10.469656,447
06:00:10.485691,438
06:00:10.486046,429
06:00:10.501691,430
06:00:10.516810,423
06:00:10.517818,423
06:00:10.532937,415
06:00:10.533822,409
06:00:10.549663,391
06:00:10.565038,388
06:00:10.565038,383
06:00:10.581544,387
06:00:10.597545,386
06:00:10.597545,388
06:00:10.613553,384
06:00:10.613553,380
06:00:10.629003,366
06:00:10.645555,365
06:00:10.645917,362
06:00:10.661553,370
06:00:10.677693,373
06:00:10.677693,378
06:00:10.693563,378
06:00:10.693563,381
06:00:10.708968,373
06:00:10.725687,376
06:00:10.725687,377
06:00:10.741690,392
06:00:10.757763,404
06:00:10.757976,421
06:00:10.772985,434
06:00:10.773985,446
06:00:10.789507,440
06:00:10.805398,439
